x,y,theta,a,r,xp,yp,thetap,done
5.0009999999999994,1.0010000000000003,-3.141592653589793,0.0,-0.02,5.0009999999999994,1.0010000000000003,-1.5707963267948966,0.0
5.0009999999999994,1.0010000000000003,-1.5707963267948966,1.0,-0.02,5.0009999999999994,1.0010000000000003,-3.141592653589793,0.0
5.0009999999999994,1.0010000000000003,-3.141592653589793,0.0,-0.02,5.0009999999999994,1.0010000000000003,-1.5707963267948966,0.0
5.0009999999999994,1.0010000000000003,-1.5707963267948966,1.0,-0.02,5.0009999999999994,1.0010000000000003,-3.141592653589793,0.0
5.0009999999999994,1.0010000000000003,-3.141592653589793,0.0,-0.02,5.0009999999999994,1.0010000000000003,-1.5707963267948966,0.0
5.0009999999999994,1.0010000000000003,-1.5707963267948966,1.0,-0.02,5.0009999999999994,1.0010000000000003,-3.141592653589793,0.0
5.0009999999999994,1.0010000000000003,-3.141592653589793,1.0,-0.02,5.0009999999999994,1.0010000000000003,1.5707963267948966,0.0
5.0009999999999994,1.0010000000000003,1.5707963267948966,0.0,-0.02,5.0009999999999994,1.0010000000000003,-3.141592653589793,0.0
5.0009999999999994,1.0010000000000003,-3.141592653589793,1.0,-0.02,5.0009999999999994,1.0010000000000003,1.5707963267948966,0.0
5.0009999999999994,1.0010000000000003,1.5707963267948966,1.0,-0.02,5.0009999999999994,1.0010000000000003,0.0,0.0
5.0009999999999994,1.0010000000000003,0.0,0.0,-0.02,5.0009999999999994,1.0010000000000003,1.5707963267948966,0.0
5.0009999999999994,1.0010000000000003,1.5707963267948966,1.0,-0.02,5.0009999999999994,1.0010000000000003,0.0,0.0
5.0009999999999994,1.0010000000000003,0.0,0.0,-0.02,5.0009999999999994,1.0010000000000003,1.5707963267948966,0.0
5.0009999999999994,1.0010000000000003,1.5707963267948966,0.0,-0.02,5.0009999999999994,1.0010000000000003,-3.141592653589793,0.0
5.0009999999999994,1.0010000000000003,-3.141592653589793,0.0,-0.02,5.0009999999999994,1.0010000000000003,-1.5707963267948966,0.0
5.0009999999999994,1.0010000000000003,-1.5707963267948966,1.0,-0.02,5.0009999999999994,1.0010000000000003,-3.141592653589793,0.0
5.0009999999999994,1.0010000000000003,-3.141592653589793,1.0,-0.02,5.0009999999999994,1.0010000000000003,1.5707963267948966,0.0
5.0009999999999994,1.0010000000000003,1.5707963267948966,0.0,-0.02,5.0009999999999994,1.0010000000000003,-3.141592653589793,0.0
5.0009999999999994,1.0010000000000003,-3.141592653589793,0.0,-0.02,5.0009999999999994,1.0010000000000003,-1.5707963267948966,0.0
5.0009999999999994,1.0010000000000003,-1.5707963267948966,0.0,-0.02,5.0009999999999994,1.0010000000000003,0.0,0.0
5.0009999999999994,1.0010000000000003,0.0,0.0,-0.02,5.0009999999999994,1.0010000000000003,1.5707963267948966,0.0
5.0009999999999994,1.0010000000000003,1.5707963267948966,0.0,-0.02,5.0009999999999994,1.0010000000000003,-3.141592653589793,0.0
5.0009999999999994,1.0010000000000003,-3.141592653589793,0.0,-0.02,5.0009999999999994,1.0010000000000003,-1.5707963267948966,0.0
5.0009999999999994,1.0010000000000003,-1.5707963267948966,1.0,-0.02,5.0009999999999994,1.0010000000000003,-3.141592653589793,0.0
5.0009999999999994,1.0010000000000003,-3.141592653589793,0.0,-0.02,5.0009999999999994,1.0010000000000003,-1.5707963267948966,0.0
5.0009999999999994,1.0010000000000003,-1.5707963267948966,1.0,-0.02,5.0009999999999994,1.0010000000000003,-3.141592653589793,0.0
5.0009999999999994,1.0010000000000003,-3.141592653589793,0.0,-0.02,5.0009999999999994,1.0010000000000003,-1.5707963267948966,0.0
5.0009999999999994,1.0010000000000003,-1.5707963267948966,1.0,-0.02,5.0009999999999994,1.0010000000000003,-3.141592653589793,0.0
5.0009999999999994,1.0010000000000003,-3.141592653589793,0.0,-0.02,5.0009999999999994,1.0010000000000003,-1.5707963267948966,0.0
5.0009999999999994,1.0010000000000003,-1.5707963267948966,1.0,-0.02,5.0009999999999994,1.0010000000000003,-3.141592653589793,0.0
5.0009999999999994,1.0010000000000003,-3.141592653589793,0.0,-0.02,5.0009999999999994,1.0010000000000003,-1.5707963267948966,0.0
5.0009999999999994,1.0010000000000003,-1.5707963267948966,1.0,-0.02,5.0009999999999994,1.0010000000000003,-3.141592653589793,0.0
5.0009999999999994,1.0010000000000003,-3.141592653589793,0.0,-0.02,5.0009999999999994,1.0010000000000003,-1.5707963267948966,0.0
